
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
1000 	20 	10 	0,2500	930,2415	2.3
1000 	20 	10 	0,1250	930,6605	2.4
1000 	20 	10 	0,0625	930,5360	2.3
1000 	20 	10 	0,0312	932,5550	2.2
1000 	50 	1 	0,5000	929,0105	2.4
1000 	50 	1 	0,2500	928,9085	2.4
1000 	50 	1 	0,1250	929,0065	2.3
1000 	50 	1 	0,0625	927,4335	2.2
1000 	50 	1 	0,0312	930,4055	2.5
1000 	50 	2 	0,5000	930,9440	2.2
1000 	50 	2 	0,2500	929,7120	2.3
1000 	50 	2 	0,1250	931,0340	2.2
1000 	50 	2 	0,0625	929,7275	2.4
1000 	50 	2 	0,0312	929,3915	2.2
1000 	50 	3 	0,5000	930,6390	2.3
1000 	50 	3 	0,2500	930,5310	2.5
1000 	50 	3 	0,1250	929,9815	2.2
1000 	50 	3 	0,0625	930,0605	2.2
1000 	50 	3 	0,0312	930,4085	2.2
1000 	50 	4 	0,5000	930,9775	2.1
1000 	50 	4 	0,2500	933,7340	2.1
1000 	50 	4 	0,1250	931,6995	2.0
1000 	50 	4 	0,0625	928,5505	2.3
1000 	50 	4 	0,0312	930,3205	2.1
1000 	50 	5 	0,5000	932,0980	2.2
1000 	50 	5 	0,2500	931,9850	2.2
1000 	50 	5 	0,1250	929,3740	2.2
1000 	50 	5 	0,0625	931,3465	2.1
1000 	50 	5 	0,0312	931,0275	2.0
1000 	50 	6 	0,5000	932,2820	2.3
1000 	50 	6 	0,2500	934,0705	2.1
1000 	50 	6 	0,1250	934,0710	2.2
1000 	50 	6 	0,0625	932,7605	2.3
1000 	50 	6 	0,0312	931,4355	2.2
1000 	50 	7 	0,5000	930,8985	2.2
1000 	50 	7 	0,2500	930,1520	2.2
1000 	50 	7 	0,1250	935,4395	2.3
1000 	50 	7 	0,0625	934,4510	2.2
1000 	50 	7 	0,0312	930,9065	2.2
1000 	50 	8 	0,5000	932,9955	2.5
1000 	50 	8 	0,2500	929,8410	2.3
1000 	50 	8 	0,1250	932,3160	2.3
1000 	50 	8 	0,0625	932,5290	2.3
1000 	50 	8 	0,0312	929,8725	2.2
1000 	50 	9 	0,5000	931,6645	2.3
1000 	50 	9 	0,2500	933,4150	2.3
1000 	50 	9 	0,1250	934,7450	2.3
1000 	50 	9 	0,0625	934,4880	2.3
1000 	50 	9 	0,0312	933,3005	2.2
1000 	50 	10 	0,5000	935,4830	2.3
1000 	50 	10 	0,2500	931,1365	2.2
1000 	50 	10 	0,1250	933,2420	2.3
1000 	50 	10 	0,0625	932,5760	2.4
1000 	50 	10 	0,0312	931,5610	2.3
1000 	100 	1 	0,5000	929,7950	2.3
1000 	100 	1 	0,2500	929,2295	2.2
1000 	100 	1 	0,1250	929,0750	2.5
1000 	100 	1 	0,0625	928,4790	2.3
1000 	100 	1 	0,0312	930,0845	2.3
1000 	100 	2 	0,5000	930,4905	2.3
1000 	100 	2 	0,2500	930,1240	2.3
1000 	100 	2 	0,1250	933,6590	2.2
1000 	100 	2 	0,0625	930,5525	2.3
1000 	100 	2 	0,0312	930,0410	2.3
1000 	100 	3 	0,5000	931,1560	2.2
1000 	100 	3 	0,2500	930,2710	2.2
1000 	100 	3 	0,1250	932,8045	2.3
1000 	100 	3 	0,0625	929,7535	2.2
1000 	100 	3 	0,0312	933,3315	2.2
1000 	100 	4 	0,5000	931,9840	2.1
1000 	100 	4 	0,2500	933,1520	2.2
1000 	100 	4 	0,1250	929,8910	2.0
1000 	100 	4 	0,0625	933,5545	2.1
1000 	100 	4 	0,0312	930,2150	2.4
1000 	100 	5 	0,5000	932,2455	2.1
1000 	100 	5 	0,2500	934,4290	2.0
1000 	100 	5 	0,1250	933,8495	2.0
1000 	100 	5 	0,0625	933,9535	2.1
1000 	100 	5 	0,0312	934,3625	2.1
1000 	100 	6 	0,5000	931,0100	2.0
1000 	100 	6 	0,2500	934,2680	2.1
1000 	100 	6 	0,1250	934,6945	2.0
1000 	100 	6 	0,0625	929,7025	2.0
1000 	100 	6 	0,0312	937,3350	2.0
1000 	100 	7 	0,5000	933,2045	2.2
1000 	100 	7 	0,2500	933,7880	2.2
1000 	100 	7 	0,1250	935,1745	2.0
1000 	100 	7 	0,0625	934,3690	2.1
1000 	100 	7 	0,0312	933,3715	2.0
1000 	100 	8 	0,5000	933,9945	2.0
1000 	100 	8 	0,2500	937,0315	2.1
1000 	100 	8 	0,1250	930,1890	2.2
1000 	100 	8 	0,0625	938,0720	2.0
1000 	100 	8 	0,0312	933,5985	2.0
1000 	100 	9 	0,5000	937,0625	2.2
1000 	100 	9 	0,2500	937,5205	2.0
1000 	100 	9 	0,1250	936,2235	2.0
1000 	100 	9 	0,0625	934,6400	2.1
1000 	100 	9 	0,0312	936,2065	2.2
1000 	100 	10 	0,5000	934,4990	2.1
1000 	100 	10 	0,2500	933,3050	2.1
1000 	100 	10 	0,1250	936,1310	2.2
1000 	100 	10 	0,0625	937,2040	2.0
1000 	100 	10 	0,0312	940,0040	2.1
1000 	200 	1 	0,5000	926,5100	2.1
1000 	200 	1 	0,2500	930,3665	2.3
1000 	200 	1 	0,1250	929,4745	2.2
1000 	200 	1 	0,0625	925,6240	2.0
1000 	200 	1 	0,0312	928,6395	2.3
1000 	200 	2 	0,5000	931,6440	2.1
1000 	200 	2 	0,2500	931,0025	2.1
1000 	200 	2 	0,1250	932,4550	2.1
1000 	200 	2 	0,0625	931,7585	2.3
1000 	200 	2 	0,0312	932,8325	2.2
1000 	200 	3 	0,5000	933,8685	2.1
1000 	200 	3 	0,2500	934,6125	2.2
1000 	200 	3 	0,1250	935,8525	2.1
1000 	200 	3 	0,0625	933,6740	2.1
1000 	200 	3 	0,0312	933,4045	2.1
1000 	200 	4 	0,5000	936,7320	2.4
1000 	200 	4 	0,2500	934,4975	2.1
1000 	200 	4 	0,1250	932,5030	2.1
1000 	200 	4 	0,0625	933,0585	2.4
1000 	200 	4 	0,0312	933,6575	2.2
1000 	200 	5 	0,5000	936,6520	2.1
1000 	200 	5 	0,2500	934,4205	2.1
1000 	200 	5 	0,1250	935,3810	2.2
1000 	200 	5 	0,0625	932,8950	2.1
1000 	200 	5 	0,0312	934,1530	2.2
1000 	200 	6 	0,5000	934,0605	2.1
1000 	200 	6 	0,2500	936,5425	2.1
1000 	200 	6 	0,1250	941,0185	2.1
1000 	200 	6 	0,0625	938,0050	2.2
1000 	200 	6 	0,0312	935,3555	2.3
1000 	200 	7 	0,5000	941,7550	2.2
1000 	200 	7 	0,2500	936,7540	2.1
1000 	200 	7 	0,1250	937,7840	2.1
1000 	200 	7 	0,0625	939,1060	2.2
1000 	200 	7 	0,0312	935,9750	2.1
1000 	200 	8 	0,5000	939,5885	2.1
1000 	200 	8 	0,2500	937,6945	2.3
1000 	200 	8 	0,1250	936,8295	2.2
1000 	200 	8 	0,0625	935,9515	2.1
1000 	200 	8 	0,0312	941,7645	2.1
1000 	200 	9 	0,5000	937,9175	2.3
1000 	200 	9 	0,2500	936,7745	2.1
1000 	200 	9 	0,1250	934,5185	2.1
1000 	200 	9 	0,0625	937,5440	2.1
1000 	200 	9 	0,0312	935,7685	2.1
1000 	200 	10 	0,5000	937,7635	2.0
1000 	200 	10 	0,2500	935,3950	2.0
1000 	200 	10 	0,1250	939,3545	2.1
1000 	200 	10 	0,0625	939,9525	2.0
1000 	200 	10 	0,0312	938,8395	2.0
1000 	500 	1 	0,5000	930,3430	2.0
1000 	500 	1 	0,2500	930,1385	2.1
1000 	500 	1 	0,1250	927,5750	2.1
1000 	500 	1 	0,0625	931,3880	2.0
1000 	500 	1 	0,0312	930,2185	2.2
1000 	500 	2 	0,5000	938,3505	1.9
1000 	500 	2 	0,2500	940,2275	1.9
1000 	500 	2 	0,1250	939,1810	1.9
1000 	500 	2 	0,0625	936,7560	2.0
1000 	500 	2 	0,0312	940,3315	2.0
1000 	500 	3 	0,5000	943,5830	1.9
1000 	500 	3 	0,2500	940,2635	2.0
1000 	500 	3 	0,1250	941,5285	2.1
1000 	500 	3 	0,0625	941,5325	2.0
1000 	500 	3 	0,0312	941,5260	1.9
1000 	500 	4 	0,5000	945,7130	1.8
1000 	500 	4 	0,2500	944,7915	2.1
1000 	500 	4 	0,1250	938,9925	2.0
1000 	500 	4 	0,0625	947,4650	2.0
1000 	500 	4 	0,0312	942,8115	2.0
1000 	500 	5 	0,5000	944,2790	2.2
1000 	500 	5 	0,2500	949,2020	1.9
1000 	500 	5 	0,1250	942,6465	1.8
1000 	500 	5 	0,0625	950,2675	1.8
1000 	500 	5 	0,0312	944,5585	2.0
1000 	500 	6 	0,5000	944,8425	1.8
1000 	500 	6 	0,2500	952,2235	1.8
1000 	500 	6 	0,1250	947,6410	1.9
1000 	500 	6 	0,0625	947,8755	2.2
1000 	500 	6 	0,0312	948,9905	2.0
1000 	500 	7 	0,5000	948,3395	2.1
1000 	500 	7 	0,2500	954,1210	2.1
1000 	500 	7 	0,1250	941,0645	2.1
1000 	500 	7 	0,0625	951,0625	1.9
1000 	500 	7 	0,0312	949,3295	2.0
1000 	500 	8 	0,5000	948,9770	2.0
1000 	500 	8 	0,2500	953,0880	2.0
1000 	500 	8 	0,1250	951,9740	1.9
1000 	500 	8 	0,0625	952,8920	1.8
1000 	500 	8 	0,0312	954,6075	1.9
1000 	500 	9 	0,5000	950,6260	2.1
1000 	500 	9 	0,2500	951,8315	1.8
1000 	500 	9 	0,1250	953,1270	1.8
1000 	500 	9 	0,0625	952,6395	1.8
1000 	500 	9 	0,0312	958,9455	2.2
1000 	500 	10 	0,5000	957,6965	1.8
1000 	500 	10 	0,2500	951,4420	1.8
1000 	500 	10 	0,1250	949,8660	1.8
1000 	500 	10 	0,0625	956,0710	2.0
1000 	500 	10 	0,0312	953,5670	1.9
1000 	1000 	1 	0,5000	940,2340	2.1
1000 	1000 	1 	0,2500	945,1490	2.2
1000 	1000 	1 	0,1250	939,2250	3.1
1000 	1000 	1 	0,0625	938,4100	2.4
1000 	1000 	1 	0,0312	942,6710	2.1
1000 	1000 	2 	0,5000	952,2420	2.2
1000 	1000 	2 	0,2500	950,6115	2.0
1000 	1000 	2 	0,1250	951,3850	1.9
1000 	1000 	2 	0,0625	952,2945	2.1
1000 	1000 	2 	0,0312	950,1275	1.9
1000 	1000 	3 	0,5000	959,1160	2.0
1000 	1000 	3 	0,2500	955,7575	1.8
1000 	1000 	3 	0,1250	953,6045	1.8
1000 	1000 	3 	0,0625	959,1515	1.8
1000 	1000 	3 	0,0312	955,5625	1.9
1000 	1000 	4 	0,5000	954,3670	1.7
1000 	1000 	4 	0,2500	958,9780	1.8
1000 	1000 	4 	0,1250	962,5370	1.7
1000 	1000 	4 	0,0625	958,9200	2.0
1000 	1000 	4 	0,0312	960,7150	1.9
1000 	1000 	5 	0,5000	961,9850	1.8
1000 	1000 	5 	0,2500	960,0455	1.9
1000 	1000 	5 	0,1250	961,6245	2.7
1000 	1000 	5 	0,0625	961,5505	3.9
1000 	1000 	5 	0,0312	961,2060	2.1
1000 	1000 	6 	0,5000	965,2365	1.9
1000 	1000 	6 	0,2500	963,1485	1.8
1000 	1000 	6 	0,1250	964,2355	2.0
1000 	1000 	6 	0,0625	959,3100	1.8
1000 	1000 	6 	0,0312	960,4680	1.8
1000 	1000 	7 	0,5000	962,6595	2.1
1000 	1000 	7 	0,2500	961,6100	1.8
1000 	1000 	7 	0,1250	963,3625	1.8
1000 	1000 	7 	0,0625	962,6880	2.0
1000 	1000 	7 	0,0312	961,1485	1.8
1000 	1000 	8 	0,5000	962,6610	1.9
1000 	1000 	8 	0,2500	962,7405	2.0
1000 	1000 	8 	0,1250	964,0610	1.8
1000 	1000 	8 	0,0625	962,0815	2.0
1000 	1000 	8 	0,0312	964,4275	1.7
1000 	1000 	9 	0,5000	962,8950	1.7
1000 	1000 	9 	0,2500	961,8200	1.7
1000 	1000 	9 	0,1250	963,9960	1.7
1000 	1000 	9 	0,0625	964,3015	1.8
1000 	1000 	9 	0,0312	962,9260	1.8
1000 	1000 	10 	0,5000	963,4075	1.7
1000 	1000 	10 	0,2500	964,1005	1.7
1000 	1000 	10 	0,1250	963,6605	1.7
1000 	1000 	10 	0,0625	962,6725	2.0
1000 	1000 	10 	0,0312	964,2165	1.9
2000 	1 	1 	0,5000	926,8385	4.1
2000 	1 	1 	0,2500	925,3415	5.5
2000 	1 	1 	0,1250	926,3820	7.9
2000 	1 	1 	0,0625	925,9045	4.8
2000 	1 	1 	0,0312	926,3030	5.0
2000 	1 	2 	0,5000	926,7095	3.5
2000 	1 	2 	0,2500	925,2330	4.2
2000 	1 	2 	0,1250	925,9650	4.4
2000 	1 	2 	0,0625	925,6650	4.4
2000 	1 	2 	0,0312	927,1775	4.5
2000 	1 	3 	0,5000	926,0245	3.3
2000 	1 	3 	0,2500	926,4615	4.6
2000 	1 	3 	0,1250	925,7840	4.6
2000 	1 	3 	0,0625	925,9895	4.5
2000 	1 	3 	0,0312	927,9115	4.6
2000 	1 	4 	0,5000	925,1405	3.4
2000 	1 	4 	0,2500	925,2785	4.6
2000 	1 	4 	0,1250	926,7130	4.5
2000 	1 	4 	0,0625	926,5445	4.4
2000 	1 	4 	0,0312	927,0685	4.4
2000 	1 	5 	0,5000	927,1705	3.2
2000 	1 	5 	0,2500	927,1005	4.4
2000 	1 	5 	0,1250	926,8260	4.3
2000 	1 	5 	0,0625	924,0050	4.2
2000 	1 	5 	0,0312	927,8830	4.7
2000 	1 	6 	0,5000	926,8325	3.4
2000 	1 	6 	0,2500	925,2690	4.9
2000 	1 	6 	0,1250	926,4770	4.6
2000 	1 	6 	0,0625	928,4410	4.9
2000 	1 	6 	0,0312	926,6390	4.9
2000 	1 	7 	0,5000	927,7515	3.7
2000 	1 	7 	0,2500	925,4450	4.9
2000 	1 	7 	0,1250	927,2795	4.9
2000 	1 	7 	0,0625	925,4435	4.6
2000 	1 	7 	0,0312	927,6950	4.8
2000 	1 	8 	0,5000	927,7650	3.7
2000 	1 	8 	0,2500	927,5550	5.0
2000 	1 	8 	0,1250	926,0090	4.8
2000 	1 	8 	0,0625	927,8705	4.7
2000 	1 	8 	0,0312	929,7280	4.7
2000 	1 	9 	0,5000	926,9615	3.6
2000 	1 	9 	0,2500	926,6050	4.9
2000 	1 	9 	0,1250	925,9225	4.5
2000 	1 	9 	0,0625	927,3640	4.5
2000 	1 	9 	0,0312	928,2390	4.5
2000 	1 	10 	0,5000	926,6570	3.2
2000 	1 	10 	0,2500	927,1170	5.1
2000 	1 	10 	0,1250	925,8685	4.8
2000 	1 	10 	0,0625	927,7120	4.6
2000 	1 	10 	0,0312	927,4155	4.7
2000 	2 	1 	0,5000	927,3105	3.6
2000 	2 	1 	0,2500	926,2745	4.7
2000 	2 	1 	0,1250	926,5890	4.9
2000 	2 	1 	0,0625	926,2440	4.8
2000 	2 	1 	0,0312	926,0700	4.9
2000 	2 	2 	0,5000	927,2105	3.5
2000 	2 	2 	0,2500	925,5060	4.8
2000 	2 	2 	0,1250	925,2010	4.9
2000 	2 	2 	0,0625	926,3500	4.6
2000 	2 	2 	0,0312	926,8135	4.7
2000 	2 	3 	0,5000	926,8295	3.4
2000 	2 	3 	0,2500	925,7030	4.5
