
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	9 	1 	0,0100	928,4710	23.1
10000 	9 	2 	1,0000	930,6060	1.6
10000 	9 	2 	0,5000	926,9325	3.4
10000 	9 	2 	0,1000	926,8990	17.6
10000 	9 	2 	0,0500	928,0370	23.7
10000 	9 	2 	0,0100	937,5805	23.7
10000 	9 	3 	1,0000	936,1220	1.7
10000 	9 	3 	0,5000	928,2245	3.2
10000 	9 	3 	0,1000	929,0760	18.5
10000 	9 	3 	0,0500	930,5390	23.6
10000 	9 	3 	0,0100	938,2415	25.7
10000 	10 	0 	1,0000	932,5135	2.0
10000 	10 	0 	0,5000	926,4670	3.5
10000 	10 	0 	0,1000	924,8805	17.5
10000 	10 	0 	0,0500	924,9615	22.7
10000 	10 	0 	0,0100	926,9470	23.2
10000 	10 	1 	1,0000	931,8745	1.6
10000 	10 	1 	0,5000	927,2440	3.2
10000 	10 	1 	0,1000	926,1390	16.8
10000 	10 	1 	0,0500	927,3215	22.8
10000 	10 	1 	0,0100	924,2910	24.1
10000 	10 	2 	1,0000	933,1745	1.6
10000 	10 	2 	0,5000	927,6295	3.2
10000 	10 	2 	0,1000	928,3225	17.3
10000 	10 	2 	0,0500	929,8130	23.4
10000 	10 	2 	0,0100	933,7300	24.3
10000 	10 	3 	1,0000	933,5540	1.6
10000 	10 	3 	0,5000	927,7095	3.2
10000 	10 	3 	0,1000	925,4520	17.0
10000 	10 	3 	0,0500	930,9710	23.9
10000 	10 	3 	0,0100	939,2500	24.2
10000 	11 	0 	1,0000	929,7450	2.0
10000 	11 	0 	0,5000	927,2935	3.5
10000 	11 	0 	0,1000	925,6885	17.1
10000 	11 	0 	0,0500	924,6735	23.3
10000 	11 	0 	0,0100	924,6245	23.3
10000 	11 	1 	1,0000	932,2185	1.5
10000 	11 	1 	0,5000	928,0765	3.2
10000 	11 	1 	0,1000	925,1350	17.2
10000 	11 	1 	0,0500	926,1680	22.6
10000 	11 	1 	0,0100	928,4445	23.0
10000 	11 	2 	1,0000	933,6475	1.6
10000 	11 	2 	0,5000	928,8840	4.2
10000 	11 	2 	0,1000	927,9875	18.6
10000 	11 	2 	0,0500	930,7545	23.1
10000 	11 	2 	0,0100	935,4570	24.4
10000 	11 	3 	1,0000	931,5500	1.6
10000 	11 	3 	0,5000	930,3730	3.2
10000 	11 	3 	0,1000	927,4450	17.4
10000 	11 	3 	0,0500	931,9805	22.9
