
······ Experiment Configuration ······ 
- # Packages: 100, seed: 1234
- Proportion: 1.2, seed: 1234
······································

Steps: 1000 	|	Stiter: 5 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 800,0330	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 796,0625	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 796,4335	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 5 	|	Lamb: 0,1250	|	Mean price: 798,6515	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 5 	|	Lamb: 0,0625	|	Mean price: 798,7280	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 5 	|	Lamb: 0,0312	|	Mean price: 801,0725	|	Mean time: 14 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 795,2550	|	Mean time: 23 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 794,7380	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 793,8440	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 795,3890	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 795,8250	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 794,3330	|	Mean time: 23 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 794,5350	|	Mean time: 30 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 795,3865	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 795,6455	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 797,1390	|	Mean time: 30 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 796,0440	|	Mean time: 26 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 795,2430	|	Mean time: 32 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 795,2685	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,0625	|	Mean price: 796,6010	|	Mean time: 35 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 3 	|	Lamb: 0,0312	|	Mean price: 796,7945	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,5000	|	Mean price: 794,4085	|	Mean time: 25 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,2500	|	Mean price: 794,9385	|	Mean time: 38 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,1250	|	Mean price: 795,4680	|	Mean time: 32 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,0625	|	Mean price: 796,7840	|	Mean time: 33 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 798,3045	|	Mean time: 32 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 795,9750	|	Mean time: 24 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 794,9050	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,1250	|	Mean price: 795,6890	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,0625	|	Mean price: 799,3830	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,0312	|	Mean price: 801,3865	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 794,8385	|	Mean time: 27 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 793,9330	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 795,1355	|	Mean time: 35 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 795,2955	|	Mean time: 36 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 795,1965	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 794,9830	|	Mean time: 27 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 794,0790	|	Mean time: 33 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 795,4970	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 795,4300	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 796,8555	|	Mean time: 32 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 795,1075	|	Mean time: 27 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 794,9835	|	Mean time: 33 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 796,4110	|	Mean time: 32 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,0625	|	Mean price: 795,8820	|	Mean time: 33 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,0312	|	Mean price: 798,8815	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,5000	|	Mean price: 794,7060	|	Mean time: 25 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,2500	|	Mean price: 794,9315	|	Mean time: 34 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,1250	|	Mean price: 797,0060	|	Mean time: 30 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,0625	|	Mean price: 797,2530	|	Mean time: 29 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 800,5490	|	Mean time: 26 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 795,4605	|	Mean time: 23 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 795,3690	|	Mean time: 25 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,1250	|	Mean price: 797,1460	|	Mean time: 26 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,0625	|	Mean price: 797,5195	|	Mean time: 30 miliseconds
Steps: 2000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,0312	|	Mean price: 799,1920	|	Mean time: 25 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 795,1910	|	Mean time: 21 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 794,5260	|	Mean time: 29 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 794,1640	|	Mean time: 26 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 795,5085	|	Mean time: 29 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 795,5355	|	Mean time: 25 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 794,5645	|	Mean time: 21 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 794,3650	|	Mean time: 31 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 795,8155	|	Mean time: 28 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 796,1960	|	Mean time: 27 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 796,3680	|	Mean time: 28 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 795,4965	|	Mean time: 20 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 795,5950	|	Mean time: 25 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 794,8805	|	Mean time: 28 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 3 	|	Lamb: 0,0625	|	Mean price: 796,4220	|	Mean time: 29 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 3 	|	Lamb: 0,0312	|	Mean price: 798,0020	|	Mean time: 26 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 4 	|	Lamb: 0,5000	|	Mean price: 795,8210	|	Mean time: 24 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 4 	|	Lamb: 0,2500	|	Mean price: 796,5180	|	Mean time: 29 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 4 	|	Lamb: 0,1250	|	Mean price: 796,0585	|	Mean time: 28 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 4 	|	Lamb: 0,0625	|	Mean price: 797,1515	|	Mean time: 28 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 798,4970	|	Mean time: 24 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 795,1400	|	Mean time: 21 miliseconds
Steps: 2000 	|	Stiter: 6 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 796,6780	|	Mean time: 30 miliseconds
